Depth (m)          Deflection (mm)                        
3.96000                 24.31321                        
4.08000                 23.92925                        
4.08000                 23.92925                        
4.20000                 23.49721                        
4.20000                 23.49721                        
4.32000                 22.89393                        
4.32000                 22.89393                        
4.44000                 21.95748                        
4.44000                 21.95748                        
4.56000                 21.00471                        
4.56000                 21.00471                        
4.68000                 20.03458                        
4.68000                 20.03458                        
4.80000                 19.04553                        
4.80000                 19.04553                        
4.92000                 18.03531                        
4.92000                 18.03531                        
5.04000                 17.00063                        
5.04000                 17.00063                        
5.16000                 15.93671                        
5.16000                 15.93671                        
5.28000                 14.83641                        
5.28000                 14.83641                        
5.40000                 13.68869                        
5.40000                 13.68869                        
5.52000                 12.47570                        
5.52000                 12.47570                        
5.64000                 11.16624                        
5.64000                 11.16624                        
5.76000                  9.69903                        
5.76000                  9.69903                        
5.88000                  6.24349                        
5.88000                  6.24349                        
6.00000                  1.80394                        
6.00000                  1.80394                        
6.12000                 -1.93452                        
6.12000                 -1.93452                        
6.24000                 -5.03203                        
6.24000                 -5.03203                        
6.36000                 -7.54820                        
6.36000                 -7.54820                        
6.48000                 -9.12863                        
6.48000                 -9.12863                        
6.60000                 -9.59132                        
6.60000                 -9.59132                        
6.72000                 -9.90221                        
6.72000                 -9.90221                        
6.84000                -10.10081                        
6.84000                -10.10081                        
6.96000                -10.21185                        
6.96000                -10.21185                        
7.08000                -10.25213                        
7.08000                -10.25213                        
7.20000                -10.23379                        
7.20000                -10.23379                        
7.32000                -10.16598                        
7.32000                -10.16598                        
7.44000                -10.05590                        
7.44000                -10.05590                        
7.56000                 -9.90935                        
7.56000                 -9.90935                        
7.68000                 -9.73114                        
7.68000                 -9.73114                        
7.80000                 -9.52531                        
7.80000                 -9.52531                        
7.92000                 -9.29535                        
7.92000                 -9.29535                        
8.04000                 -9.04427                        
8.04000                 -9.04427                        
8.16000                 -8.47363                        
8.16000                 -8.47363                        
8.28000                 -7.67193                        
8.28000                 -7.67193                        
8.40000                 -6.88595                        
8.40000                 -6.88595                        
8.52000                 -6.12541                        
8.52000                 -6.12541                        
8.64000                 -5.39798                        
8.64000                 -5.39798                        
8.76000                 -4.70944                        
8.76000                 -4.70944                        
8.88000                 -4.06397                        
8.88000                 -4.06397                        
9.00000                 -3.46431                        
9.00000                 -3.46431                        
9.12000                 -2.91198                        
9.12000                 -2.91198                        
9.24000                 -2.40744                        
9.24000                 -2.40744                        
9.36000                 -1.95029                        
9.36000                 -1.95029                        
9.48000                 -1.53939                        
9.48000                 -1.53939                        
9.60000                 -1.17299                        
9.60000                 -1.17299                        
9.72000                 -0.84891                        
9.72000                 -0.84891                        
9.84000                 -0.56459                        
9.84000                 -0.56459                        
9.96000                 -0.31722                        
9.96000                 -0.31722                        
10.08000                 -0.10380                        
10.08000                 -0.10380                        
10.20000                  0.07873                        
10.20000                  0.07873                        
10.32000                  0.23351                        
10.32000                  0.23351                        
10.44000                  0.36361                        
10.44000                  0.36361                        
10.56000                  0.47207                        
10.56000                  0.47207                        
10.68000                  0.56179                        
10.68000                  0.56179                        
10.80000                  0.63556                        
10.80000                  0.63556                        
10.92000                  0.69597                        
10.92000                  0.69597                        
11.04000                  0.74545                        
11.04000                  0.74545                        
11.16000                  0.78619                        
11.16000                  0.78619                        
11.28000                  0.82018                        
11.28000                  0.82018                        
11.40000                  0.84916                        
11.40000                  0.84916                        
11.52000                  0.87462                        
11.52000                  0.87462                        
11.64000                  0.89781                        
11.64000                  0.89781                        
11.76000                  0.91969                        
11.76000                  0.91969                        
11.88000                  0.94098                        
                        
